Variable,Year,Value,RSE,Industry
Oilseeds receipts ($),1990,3790,35,Mixed
Other administration expenses ($),1990,5240,6,Mixed
Other farm income ($),1990,13550,15,Mixed
Other livestock purchased ($),1990,480,39,Mixed
Other livestock receipts ($),1990,6390,34,Mixed
Other materials ($),1990,3220,11,Mixed
Other services ($),1990,11910,11,Mixed
Payments to sharefarmers ($),1990,6890,27,Mixed
Population,1990,21022,,Mixed
Produce purchased for resale ($),1990,20,95,Mixed
Profit at full equity ($),1990,80250,13,Mixed
Profit at full equity including capital appreciation ($),1990,-146660,40,Mixed
Rams at 30 June (no.),1990,30,12,Mixed
Rate of return ex. capital appreciation (%),1990,3.6,12,Mixed
Rate of return inc. capital appreciation (%),1990,-6.6,40,Mixed
Repairs and maintenance ($),1990,37460,6,Mixed
Rice area sown (ha),1990,4,22,Mixed
Sample Contributing,1990,233,,Mixed
Seed ($),1990,4440,9,Mixed
Shearing crutching ($),1990,15470,8,Mixed
Sheep and lambs shorn (no.),1990,2506,6,Mixed
Sheep flock at 30 June (no.),1990,2287,6,Mixed
Sheep purchased ($),1990,11840,12,Mixed
Sheep purchased (no.),1990,159,14,Mixed
Sheep receipts ($),1990,35740,12,Mixed
Sheep sold (no.),1990,691,6,Mixed
Shire and PPB rates ($),1990,8400,5,Mixed
Sorghum area sown (ha),1990,6,33,Mixed
Sorghum produced (t),1990,10,38,Mixed
Sorghum receipts ($),1990,3730,33,Mixed
Steers and other beef cattle at 30 June (no.),1990,14,17,Mixed
Stores and rations ($),1990,210,35,Mixed
Telephone ($),1990,2760,5,Mixed
Total area cropped (ha),1990,454,5,Mixed
Total area irrigated (ha),1990,13,19,Mixed
Total cash costs ($),1990,366050,5,Mixed
Total cash receipts ($),1990,510470,4,Mixed
Total closing capital ($),1990,2214170,5,Mixed
Total crop gross receipts ($),1990,246080,5,Mixed
Total family income ($),1990,86760,8,Mixed
Total freight ($),1990,21910,6,Mixed
Total labor used (weeks),1990,121,5,Mixed
Total non farm income ($),1990,21290,11,Mixed
Total off farm wages ($),1990,5060,24,Mixed
Total wool sold (kg),1990,11927,6,Mixed
Value of land and fixed improvements ($),1990,1779660,5,Mixed
Vet fees ($),1990,240,22,Mixed
Wages for hired labor ($),1990,11150,17,Mixed
Water charges ($),1990,2850,19,Mixed
Wethers at 30 June (no.),1990,624,10,Mixed
Wheat area sown (ha),1990,253,6,Mixed
Wheat produced (t),1990,390,7,Mixed
Wheat receipts ($),1990,155720,7,Mixed
Wheat sold (t),1990,377,7,Mixed
Wool cut per head (kg),1990,4.7,2,Mixed
Wool produced (kg),1990,11852,6,Mixed
Wool receipts ($),1990,148470,7,Mixed
AI stud fees and herd testing ($),1990,410,33,Sheep
Accounting services ($),1990,2810,6,Sheep
Advisory services ($),1990,290,28,Sheep
Age of owner manager (yrs),1990,53,2,Sheep
Age of spouse (yrs),1990,49,2,Sheep
Agistment ($),1990,2650,79,Sheep
Area operated at 30 June (ha),1990,4983,11,Sheep
Barley area sown (ha),1990,5,22,Sheep
Barley produced (t),1990,9,27,Sheep
Barley receipts ($),1990,2760,29,Sheep
Beef bulls at 30 June (no.),1990,2,12,Sheep
Beef calves at 30 June (no.),1990,17,9,Sheep
Beef cattle purchased ($),1990,6510,18,Sheep
Beef cattle purchased (no.),1990,7,20,Sheep
Beef cattle receipts ($),1990,29360,10,Sheep
Beef cattle sold (no.),1990,30,10,Sheep
Beef cattle transferred off farm (no.),1990,0,80,Sheep
Beef cattle transferred onto farm (no.),1990,0,59,Sheep
Beef cows at 30 June (no.),1990,31,8,Sheep
Beef heifers at 30 June (no.),1990,7,10,Sheep
Beef herd at 30 June (no.),1990,63,7,Sheep
Branding rate (%),1990,82.9,2,Sheep
Buildup in trading stocks ($),1990,9410,35,Sheep
Canola area sown (ha),1990,0,107,Sheep
Canola produced (t),1990,0,107,Sheep
Canola receipts ($),1990,50,107,Sheep
Capital appreciation ($),1990,-135370,19,Sheep
Capital at 1 July ($),1990,2466100,3,Sheep
Change in farm debt ($),1990,29110,35,Sheep
Contracts - cropping ($),1990,2480,14,Sheep
Contracts - livestock ($),1990,1090,24,Sheep
Cotton receipts ($),1990,0,,Sheep
Crop and pasture chemicals ($),1990,3220,14,Sheep
Dairy cattle at June 30 (no.),1990,0,,Sheep
Depreciation ($),1990,33810,4,Sheep
Electricity ($),1990,3010,7,Sheep
Equity ratio at 30 June (%),1990,90,1,Sheep
Ewes at 30 June (no.),1990,1732,4,Sheep
Family share of farm income ($),1990,41450,14,Sheep
Farm business debt at 30 June ($),1990,238790,10,Sheep
Farm business equity June 30 ($),1990,2056670,3,Sheep
Farm business profit ($),1990,17090,41,Sheep
Farm cash income ($),1990,105710,6,Sheep
Farm liquid assets at 30 June ($),1990,114760,13,Sheep
Fertiliser ($),1990,13840,6,Sheep
Field peas area sown (ha),1990,1,72,Sheep
Field peas produced (t),1990,1,72,Sheep
Field peas receipts ($),1990,350,72,Sheep
Fodder ($),1990,6040,11,Sheep
Fuel oil and grease ($),1990,13820,5,Sheep
Grain legumes area sown (ha),1990,2,34,Sheep
Grain legumes produced (t),1990,3,39,Sheep
Grain legumes receipts ($),1990,850,43,Sheep
Handling and marketing ($),1990,22010,3,Sheep
Hours worked on farm - total (hrsperwk),1990,,,Sheep
Hours worked on farm by owner manager (hrsperwk),1990,,,Sheep
Hours worked on farm by spouse (hrsperwk),1990,,,Sheep
Imputed labor cost ($),1990,64220,3,Sheep
Insurance ($),1990,5510,4,Sheep
Interest paid ($),1990,36800,10,Sheep
Lambs at 30 June (no.),1990,798,4,Sheep
Land rent ($),1990,2870,19,Sheep
Leasing charges ($),1990,4870,17,Sheep
Livestock materials ($),1990,10750,5,Sheep
Livestock transfers - inwards ($),1990,600,39,Sheep
Livestock transfers - outward ($),1990,800,64,Sheep
Lupins area sown (ha),1990,2,38,Sheep
Lupins produced (t),1990,2,46,Sheep
Lupins receipts ($),1990,510,53,Sheep
Net capital additions ($),1990,60830,20,Sheep
Oats area sown (ha),1990,15,14,Sheep
Oats produced (t),1990,19,12,Sheep
Oats receipts ($),1990,1750,23,Sheep
Off farm contracts ($),1990,3810,28,Sheep
Off farm sharefarming ($),1990,1480,39,Sheep
Off-farm work for owner manager (hrsperwk),1990,4,26,Sheep
Off-farm work for spouse (hrsperwk),1990,4,22,Sheep
Oilseeds area sown (ha),1990,1,29,Sheep
Oilseeds produced (t),1990,1,38,Sheep
Oilseeds receipts ($),1990,530,37,Sheep
Other administration expenses ($),1990,4450,8,Sheep
Other farm income ($),1990,7670,11,Sheep
Other livestock purchased ($),1990,160,42,Sheep
Other livestock receipts ($),1990,2360,36,Sheep
Other materials ($),1990,3900,8,Sheep
Other services ($),1990,9250,7,Sheep
Payments to sharefarmers ($),1990,460,78,Sheep
Population,1990,25241,,Sheep
Produce purchased for resale ($),1990,0,,Sheep
Profit at full equity ($),1990,59710,11,Sheep
Profit at full equity including capital appreciation ($),1990,-75670,37,Sheep
Rams at 30 June (no.),1990,47,8,Sheep
Rate of return ex. capital appreciation (%),1990,2.5,10,Sheep
Rate of return inc. capital appreciation (%),1990,-3.2,37,Sheep
Repairs and maintenance ($),1990,26470,4,Sheep
Rice area sown (ha),1990,0,,Sheep
Sample Contributing,1990,301,,Sheep
Seed ($),1990,2000,11,Sheep
Shearing crutching ($),1990,24890,5,Sheep
Sheep and lambs shorn (no.),1990,3887,3,Sheep
Sheep flock at 30 June (no.),1990,3734,3,Sheep
Sheep purchased ($),1990,17800,8,Sheep
Sheep purchased (no.),1990,266,11,Sheep
Sheep receipts ($),1990,48500,6,Sheep
Sheep sold (no.),1990,960,4,Sheep
Shire and PPB rates ($),1990,7250,4,Sheep
Sorghum area sown (ha),1990,0,109,Sheep
Sorghum produced (t),1990,0,109,Sheep
Sorghum receipts ($),1990,40,109,Sheep
Steers and other beef cattle at 30 June (no.),1990,6,12,Sheep
Stores and rations ($),1990,1090,14,Sheep
Telephone ($),1990,2410,5,Sheep
Total area cropped (ha),1990,60,10,Sheep
Total area irrigated (ha),1990,15,25,Sheep
Total cash costs ($),1990,261850,4,Sheep
Total cash receipts ($),1990,367560,3,Sheep
Total closing capital ($),1990,2366300,3,Sheep
Total crop gross receipts ($),1990,23310,18,Sheep
Total family income ($),1990,88120,7,Sheep
Total freight ($),1990,6680,7,Sheep
Total labor used (weeks),1990,109,3,Sheep
Total non farm income ($),1990,38780,10,Sheep
Total off farm wages ($),1990,16410,19,Sheep
Total wool sold (kg),1990,18440,3,Sheep
Value of land and fixed improvements ($),1990,2013080,3,Sheep
Vet fees ($),1990,470,27,Sheep
Wages for hired labor ($),1990,14200,11,Sheep
Water charges ($),1990,800,62,Sheep
Wethers at 30 June (no.),1990,1158,5,Sheep
Wheat area sown (ha),1990,14,21,Sheep
Wheat produced (t),1990,23,25,Sheep
Wheat receipts ($),1990,8850,26,Sheep
Wheat sold (t),1990,21,26,Sheep
Wool cut per head (kg),1990,4.8,2,Sheep
Wool produced (kg),1990,18503,3,Sheep
Wool receipts ($),1990,250280,3,Sheep
AI stud fees and herd testing ($),1990,340,35,Sheep-Beef
Accounting services ($),1990,2950,13,Sheep-Beef
Advisory services ($),1990,100,79,Sheep-Beef
Age of owner manager (yrs),1990,55,4,Sheep-Beef
Age of spouse (yrs),1990,49,3,Sheep-Beef
Agistment ($),1990,2060,26,Sheep-Beef
Area operated at 30 June (ha),1990,3603,25,Sheep-Beef
Barley area sown (ha),1990,2,48,Sheep-Beef
Barley produced (t),1990,2,58,Sheep-Beef
Barley receipts ($),1990,840,66,Sheep-Beef
Beef bulls at 30 June (no.),1990,7,14,Sheep-Beef
Beef calves at 30 June (no.),1990,80,9,Sheep-Beef
Beef cattle purchased ($),1990,49390,32,Sheep-Beef
Beef cattle purchased (no.),1990,54,33,Sheep-Beef
Beef cattle receipts ($),1990,146450,14,Sheep-Beef
Beef cattle sold (no.),1990,135,12,Sheep-Beef
Beef cattle transferred off farm (no.),1990,1,65,Sheep-Beef
Beef cattle transferred onto farm (no.),1990,0,,Sheep-Beef
Beef cows at 30 June (no.),1990,123,10,Sheep-Beef
Beef heifers at 30 June (no.),1990,27,12,Sheep-Beef
Beef herd at 30 June (no.),1990,281,9,Sheep-Beef
Branding rate (%),1990,86.3,1,Sheep-Beef
Buildup in trading stocks ($),1990,13130,54,Sheep-Beef
Canola area sown (ha),1990,0,,Sheep-Beef
Canola produced (t),1990,0,,Sheep-Beef
Canola receipts ($),1990,0,,Sheep-Beef
Capital appreciation ($),1990,-135070,36,Sheep-Beef
Capital at 1 July ($),1990,2549020,7,Sheep-Beef
Change in farm debt ($),1990,16770,36,Sheep-Beef
Contracts - cropping ($),1990,1870,23,Sheep-Beef
Contracts - livestock ($),1990,1540,60,Sheep-Beef
Cotton receipts ($),1990,0,,Sheep-Beef
Crop and pasture chemicals ($),1990,2730,31,Sheep-Beef
Dairy cattle at June 30 (no.),1990,0,124,Sheep-Beef
Depreciation ($),1990,28810,10,Sheep-Beef
Electricity ($),1990,2440,14,Sheep-Beef
Equity ratio at 30 June (%),1990,93,1,Sheep-Beef
Ewes at 30 June (no.),1990,1105,11,Sheep-Beef
Family share of farm income ($),1990,36950,21,Sheep-Beef
Farm business debt at 30 June ($),1990,156600,15,Sheep-Beef
Farm business equity June 30 ($),1990,2154600,8,Sheep-Beef
Farm business profit ($),1990,8690,134,Sheep-Beef
Farm cash income ($),1990,85570,14,Sheep-Beef
Farm liquid assets at 30 June ($),1990,137300,25,Sheep-Beef
Fertiliser ($),1990,15040,13,Sheep-Beef
Field peas area sown (ha),1990,5,84,Sheep-Beef
Field peas produced (t),1990,4,87,Sheep-Beef
Field peas receipts ($),1990,1740,89,Sheep-Beef
Fodder ($),1990,5250,22,Sheep-Beef
Fuel oil and grease ($),1990,11940,11,Sheep-Beef
Grain legumes area sown (ha),1990,5,81,Sheep-Beef
Grain legumes produced (t),1990,5,83,Sheep-Beef
Grain legumes receipts ($),1990,1750,88,Sheep-Beef
Handling and marketing ($),1990,19670,11,Sheep-Beef
Hours worked on farm - total (hrsperwk),1990,,,Sheep-Beef
Hours worked on farm by owner manager (hrsperwk),1990,,,Sheep-Beef
Hours worked on farm by spouse (hrsperwk),1990,,,Sheep-Beef
Imputed labor cost ($),1990,61210,6,Sheep-Beef
Insurance ($),1990,4330,12,Sheep-Beef
Interest paid ($),1990,25830,15,Sheep-Beef
Lambs at 30 June (no.),1990,468,13,Sheep-Beef
Land rent ($),1990,2490,37,Sheep-Beef
Leasing charges ($),1990,1560,36,Sheep-Beef
Livestock materials ($),1990,11280,14,Sheep-Beef
Livestock transfers - inwards ($),1990,50,92,Sheep-Beef
Livestock transfers - outward ($),1990,690,49,Sheep-Beef
Lupins area sown (ha),1990,0,64,Sheep-Beef
Lupins produced (t),1990,0,61,Sheep-Beef
Lupins receipts ($),1990,10,124,Sheep-Beef
Net capital additions ($),1990,10710,276,Sheep-Beef
Oats area sown (ha),1990,16,25,Sheep-Beef
Oats produced (t),1990,7,60,Sheep-Beef
Oats receipts ($),1990,440,56,Sheep-Beef
Off farm contracts ($),1990,1170,81,Sheep-Beef
Off farm sharefarming ($),1990,160,115,Sheep-Beef
Off-farm work for owner manager (hrsperwk),1990,4,60,Sheep-Beef
Off-farm work for spouse (hrsperwk),1990,5,31,Sheep-Beef
Oilseeds area sown (ha),1990,1,63,Sheep-Beef
Oilseeds produced (t),1990,0,104,Sheep-Beef
Oilseeds receipts ($),1990,350,76,Sheep-Beef
Other administration expenses ($),1990,3560,12,Sheep-Beef
Other farm income ($),1990,8080,20,Sheep-Beef
Other livestock purchased ($),1990,230,54,Sheep-Beef
Other livestock receipts ($),1990,1200,57,Sheep-Beef
Other materials ($),1990,2980,12,Sheep-Beef
Other services ($),1990,9770,12,Sheep-Beef
Payments to sharefarmers ($),1990,1560,49,Sheep-Beef
Population,1990,9290,,Sheep-Beef
Produce purchased for resale ($),1990,280,89,Sheep-Beef
Profit at full equity ($),1990,37660,30,Sheep-Beef
Profit at full equity including capital appreciation ($),1990,-97410,48,Sheep-Beef
Rams at 30 June (no.),1990,30,17,Sheep-Beef
Rate of return ex. capital appreciation (%),1990,1.6,27,Sheep-Beef
Rate of return inc. capital appreciation (%),1990,-4,48,Sheep-Beef
Repairs and maintenance ($),1990,26390,17,Sheep-Beef
Rice area sown (ha),1990,0,,Sheep-Beef
Sample Contributing,1990,141,,Sheep-Beef
Seed ($),1990,1730,18,Sheep-Beef
Shearing crutching ($),1990,14410,13,Sheep-Beef
Sheep and lambs shorn (no.),1990,2340,10,Sheep-Beef
Sheep flock at 30 June (no.),1990,2200,9,Sheep-Beef
Sheep purchased ($),1990,15320,21,Sheep-Beef
Sheep purchased (no.),1990,266,24,Sheep-Beef
Sheep receipts ($),1990,44410,15,Sheep-Beef
Sheep sold (no.),1990,816,13,Sheep-Beef
Shire and PPB rates ($),1990,6870,9,Sheep-Beef
Sorghum area sown (ha),1990,1,93,Sheep-Beef
Sorghum produced (t),1990,1,93,Sheep-Beef
Sorghum receipts ($),1990,370,128,Sheep-Beef
Steers and other beef cattle at 30 June (no.),1990,45,19,Sheep-Beef
Stores and rations ($),1990,720,15,Sheep-Beef
Telephone ($),1990,2290,11,Sheep-Beef
Total area cropped (ha),1990,58,23,Sheep-Beef
Total area irrigated (ha),1990,14,38,Sheep-Beef
Total cash costs ($),1990,268510,11,Sheep-Beef
Total cash receipts ($),1990,354070,10,Sheep-Beef
Total closing capital ($),1990,2406910,7,Sheep-Beef
Total crop gross receipts ($),1990,15700,46,Sheep-Beef
Total family income ($),1990,76310,11,Sheep-Beef
Total freight ($),1990,6580,21,Sheep-Beef
Total labor used (weeks),1990,107,8,Sheep-Beef
Total non farm income ($),1990,34430,12,Sheep-Beef
Total off farm wages ($),1990,13450,29,Sheep-Beef
Total wool sold (kg),1990,10167,11,Sheep-Beef
Value of land and fixed improvements ($),1990,1980040,7,Sheep-Beef
Vet fees ($),1990,530,29,Sheep-Beef
Wages for hired labor ($),1990,13040,21,Sheep-Beef
Water charges ($),1990,1410,48,Sheep-Beef
Wethers at 30 June (no.),1990,596,13,Sheep-Beef
Wheat area sown (ha),1990,11,60,Sheep-Beef
Wheat produced (t),1990,22,66,Sheep-Beef
Wheat receipts ($),1990,8760,66,Sheep-Beef
Wheat sold (t),1990,20,68,Sheep-Beef
Wool cut per head (kg),1990,4.4,4,Sheep-Beef
Wool produced (kg),1990,10199,11,Sheep-Beef
Wool receipts ($),1990,136210,12,Sheep-Beef
AI stud fees and herd testing ($),1991,300,19,All Broadacre
Accounting services ($),1991,2720,3,All Broadacre
Advisory services ($),1991,450,18,All Broadacre
Age of owner manager (yrs),1991,53,1,All Broadacre
Age of spouse (yrs),1991,49,1,All Broadacre
Agistment ($),1991,1230,14,All Broadacre
Area operated at 30 June (ha),1991,5533,6,All Broadacre
Barley area sown (ha),1991,30,5,All Broadacre
Barley produced (t),1991,51,5,All Broadacre
Barley receipts ($),1991,11170,6,All Broadacre
Beef bulls at 30 June (no.),1991,6,6,All Broadacre
Beef calves at 30 June (no.),1991,58,4,All Broadacre
Beef cattle purchased ($),1991,19160,9,All Broadacre
Beef cattle purchased (no.),1991,23,9,All Broadacre
Beef cattle receipts ($),1991,91390,4,All Broadacre
Beef cattle sold (no.),1991,93,4,All Broadacre
Beef cattle transferred off farm (no.),1991,2,28,All Broadacre
Beef cattle transferred onto farm (no.),1991,2,21,All Broadacre
Beef cows at 30 June (no.),1991,104,3,All Broadacre
Beef heifers at 30 June (no.),1991,25,5,All Broadacre
Beef herd at 30 June (no.),1991,245,3,All Broadacre
Branding rate (%),1991,78.9,1,All Broadacre
Buildup in trading stocks ($),1991,-1480,165,All Broadacre
Canola area sown (ha),1991,1,20,All Broadacre
Canola produced (t),1991,2,22,All Broadacre
Canola receipts ($),1991,1090,23,All Broadacre
Capital appreciation ($),1991,-289250,4,All Broadacre
Capital at 1 July ($),1991,2295540,2,All Broadacre
Change in farm debt ($),1991,7090,39,All Broadacre
Contracts - cropping ($),1991,4320,8,All Broadacre
Contracts - livestock ($),1991,1060,15,All Broadacre
Cotton receipts ($),1991,2240,58,All Broadacre
Crop and pasture chemicals ($),1991,8390,5,All Broadacre
Dairy cattle at June 30 (no.),1991,0,50,All Broadacre
Depreciation ($),1991,39640,2,All Broadacre
Electricity ($),1991,2880,3,All Broadacre
Equity ratio at 30 June (%),1991,87,1,All Broadacre
Ewes at 30 June (no.),1991,894,2,All Broadacre
Family share of farm income ($),1991,-4430,51,All Broadacre
Farm business debt at 30 June ($),1991,242910,4,All Broadacre
Farm business equity June 30 ($),1991,1645900,2,All Broadacre
Farm business profit ($),1991,-56920,5,All Broadacre
Farm cash income ($),1991,52210,6,All Broadacre
Farm liquid assets at 30 June ($),1991,104180,6,All Broadacre
Fertiliser ($),1991,14010,3,All Broadacre
Field peas area sown (ha),1991,4,12,All Broadacre
Field peas produced (t),1991,4,13,All Broadacre
